职位,工资,经验,学历,公司规模
安全设计及开发工程师,10k-20k,5-10年,本科,150-500人
机器学习平台开发（工程类、java、spark）,20k-36k,3-5年,本科,500-2000人
数仓开发工程师,13k-25k,1-3年,本科,50-150人
容器开发工程师,20k-30k,3-5年,本科,500-2000人
大数据开发工程师,15k-25k,3-5年,本科,50-150人
数据技术经理 (大数据与AI部),20k-40k,5-10年,本科,2000人以上
后端开发工程师,15k-30k,不限,不限,15-50人
大数据开发工程师,15k-30k,1-3年,本科,50-150人
数据开发工程师（外包） (MJ001147),1k-2k,1-3年,不限,150-500人
大数据开发工程师,10k-20k,1-3年,大专,50-150人
Python研发工程师（爬虫方向）,9k-15k,1-3年,本科,2000人以上
安全研发工程师,20k-40k,3-5年,本科,150-500人
DevOps开发工程师/专家-杭州-00411,20k-30k,3-5年,本科,500-2000人
算法研发工程师,15k-25k,不限,本科,150-500人
后端工程师（杭州）,10k-20k,3-5年,本科,15-50人
高级后端开发工程师,15k-30k,3-5年,本科,50-150人
资深数据开发工程师,15k-30k,3-5年,本科,2000人以上
大数据开发工程师,13k-25k,1-3年,本科,50-150人
大数据开发工程师（初级）,10k-20k,1-3年,本科,150-500人
高级后端开发工程师,20k-30k,1-3年,不限,15-50人
技术支持,5k-10k,不限,不限,50-150人
数据开发工程师,8k-15k,1-3年,本科,150-500人
大数据开发工程师,10k-20k,1-3年,本科,500-2000人
运维开发工程师,15k-30k,3-5年,本科,500-2000人
数据开发工程师（杭州）,12k-18k,1-3年,本科,500-2000人
资深数据开发工程师,20k-40k,3-5年,本科,2000人以上
搜索开发工程师/推荐系统工程师（杭州）,20k-35k,3-5年,本科,500-2000人
ETL开发工程师,10k-20k,3-5年,大专,150-500人
研发协作平台解决方案工程师,20k-40k,3-5年,本科,500-2000人
数据开发工程师,18k-35k,3-5年,本科,500-2000人
技术经理,20k-40k,5-10年,本科,150-500人
软件测试开发工程师,8k-16k,1-3年,本科,50-150人
高级后台研发工程师,15k-25k,3-5年,本科,50-150人
Golang开发工程师,15k-30k,1-3年,本科,15-50人
go后端开发,10k-20k,1-3年,大专,50-150人
C++,10k-20k,3-5年,本科,150-500人
C++研发工程师,15k-30k,1-3年,本科,150-500人
自动化开发测试工程师,12k-20k,3-5年,本科,150-500人
Java开发工程师,15k-30k,5-10年,本科,150-500人
前端工程师,15k-30k,1-3年,本科,15-50人
高级前端开发工程师,20k-35k,5-10年,本科,50-150人
资深数据开发工程师,25k-35k,3-5年,本科,2000人以上
Go测试开发工程师（层底技术方向）,15k-30k,3-5年,本科,500-2000人
中级Java开发工程师,10k-20k,1-3年,大专,150-500人
Node.js,10k-20k,不限,本科,50-150人
大数据开发（java）,18k-25k,3-5年,不限,500-2000人
大数据平台研发工程师【杭州】,15k-30k,3-5年,本科,150-500人
技术支持,8k-15k,1-3年,本科,150-500人
测试开发工程师,15k-30k,1-3年,本科,150-500人
算法工程师,15k-30k,3-5年,本科,50-150人
前端开发工程师,13k-25k,3-5年,本科,50-150人
CDN开发工程师,15k-25k,3-5年,本科,150-500人
前端工程师,18k-36k,5-10年,本科,150-500人
运维开发工程师,15k-25k,3-5年,本科,500-2000人
前端开发,10k-15k,1-3年,本科,15-50人
高级/资深数据开发工程师,25k-40k,3-5年,本科,2000人以上
高级c++开发工程师,12k-24k,3-5年,本科,50-150人
APP测试开发工程师-杭州-00510,20k-35k,3-5年,本科,500-2000人
中/高级Java开发工程师,15k-25k,5-10年,大专,150-500人
测试开发工程师（医疗方向） (MJ000025),15k-30k,3-5年,本科,150-500人
系统研发工程师,20k-35k,3-5年,本科,50-150人
云平台网络研发工程师-00048,15k-30k,1-3年,本科,50-150人
前端开发工程师,10k-20k,3-5年,不限,150-500人
运维开发工程师,10k-20k,1-3年,大专,150-500人
算法工程师,25k-50k,1-3年,本科,50-150人
资深测试开发工程师,25k-35k,5-10年,本科,50-150人
运维开发工程师,18k-30k,3-5年,不限,50-150人
前端开发,10k-20k,不限,本科,15-50人
Hadoop工程师,20k-30k,3-5年,不限,150-500人
前端开发工程师,20k-35k,3-5年,本科,50-150人
资深java开发工程师,18k-30k,5-10年,大专,150-500人
运维开发工程师,15k-20k,3-5年,大专,150-500人
Web前端工程师（医疗方向）-杭州,15k-30k,3-5年,本科,150-500人
算法工程师,16k-30k,3-5年,本科,500-2000人
前端开发工程师,15k-20k,1-3年,大专,50-150人
C++开发工程师,9k-15k,1-3年,本科,150-500人
运维开发工程师,15k-25k,3-5年,本科,50-150人
运维开发工程师,7k-14k,1-3年,本科,150-500人
PHP工程师,15k-25k,5-10年,大专,50-150人
C++,10k-20k,不限,本科,15-50人
Java开发工程师,10k-15k,1-3年,大专,15-50人
java开发工程师,11k-22k,3-5年,本科,150-500人
服务端开发工程师,15k-25k,3-5年,本科,500-2000人
游戏测试开发工程师,15k-20k,1-3年,本科,2000人以上
技术支持工程师,10k-20k,1-3年,本科,150-500人
运维开发工程师,10k-20k,1-3年,大专,150-500人
java开发工程师,10k-20k,3-5年,大专,150-500人
前端开发工程师,12k-17k,3-5年,本科,15-50人
前端,8k-15k,3-5年,大专,2000人以上
仿真环境开发工程师,18k-35k,1-3年,本科,50-150人
PHP 开发工程师,12k-20k,1-3年,不限,50-150人
技术工具工程师,20k-40k,5-10年,本科,2000人以上
资深测试开发工程师,20k-25k,5-10年,不限,50-150人
测试开发工程师 (MJ000024),15k-25k,3-5年,本科,150-500人
未来酒店-前端开发,10k-15k,1年以下,本科,150-500人
高级（资深）系统软件工程师,20k-30k,3-5年,本科,50-150人
高级前端开发工程师,14k-24k,3-5年,本科,150-500人
前端工程师,18k-36k,5-10年,本科,150-500人
前端开发工程师（实习）,4k-8k,不限,本科,150-500人
机器学习平台研发工程师,20k-35k,3-5年,本科,2000人以上
运维开发工程师 (MJ000021),14k-20k,3-5年,大专,150-500人
软件开发工程师,20k-40k,5-10年,本科,2000人以上
java后台开发工程师,10k-20k,3-5年,大专,150-500人
资深网络开发工程师,15k-25k,5-10年,本科,2000人以上
高级java开发-数据库底层（I）,15k-30k,3-5年,本科,15-50人
前端开发,15k-25k,3-5年,本科,50-150人
资深java开发工程师,15k-30k,不限,本科,50-150人
测试开发工程师,7k-14k,1-3年,本科,150-500人
高级前端开发工程师,15k-30k,1-3年,本科,500-2000人
数据挖掘工程师/算法工程师,15k-25k,3-5年,本科,500-2000人
后端go开发工程师,16k-32k,3-5年,本科,50-150人
人工智能系统工程师,20k-35k,3-5年,硕士,50-150人
算法工程师,30k-50k,3-5年,硕士,500-2000人
资深测试开发工程师／测试专家,15k-25k,3-5年,本科,150-500人
运维开发工程师 (MJ000009),16k-22k,3-5年,不限,150-500人
算法工程师,15k-30k,3-5年,本科,2000人以上
高级java开发-分布式系统,15k-30k,3-5年,本科,15-50人
资深PHP研发工程师 (MJ000022),15k-28k,3-5年,本科,150-500人
DBA工程师/专家,20k-35k,3-5年,本科,500-2000人
技术支持经理,18k-25k,5-10年,本科,150-500人
算法工程师,25k-40k,1-3年,本科,50-150人
高级Java工程师,16k-25k,3-5年,本科,15-50人
高级后台研发工程师,15k-30k,3-5年,本科,50-150人
数据研发工程师,12k-18k,3-5年,本科,150-500人
Java高级开发工程师,20k-40k,3-5年,本科,50-150人
ETL开发工程师,15k-25k,1-3年,本科,150-500人
算法工程师,8k-15k,不限,本科,15-50人
高级测试开发工程师,15k-28k,3-5年,本科,500-2000人
测试工程师,8k-15k,1-3年,本科,150-500人
前端工程师,18k-25k,3-5年,大专,500-2000人
高级java开发-数据库底层（II）,25k-40k,3-5年,硕士,15-50人
AI工程师,15k-25k,3-5年,硕士,150-500人
七鱼-资深测试开发工程师,25k-50k,5-10年,本科,2000人以上
算法工程师 (MJ000087),25k-50k,3-5年,硕士,150-500人
Node.js&nbsp;开发工程师,12k-20k,1-3年,本科,150-500人
资深爬虫开发工程师,15k-30k,1-3年,本科,150-500人
大数据开发工程师（杭州）,10k-20k,3-5年,本科,150-500人
资深数据开发工程师,15k-30k,3-5年,本科,500-2000人
高级（资深）应用软件工程师,20k-30k,3-5年,本科,50-150人
数据仓库开发工程师,18k-30k,3-5年,本科,150-500人
大数据测试工程师,20k-40k,5-10年,本科,500-2000人
算法工程师,10k-18k,3-5年,大专,15-50人
后台研发工程师,15k-30k,3-5年,本科,50-150人
测试开发工程师,15k-25k,3-5年,本科,500-2000人
高级JAVA工程师,11k-22k,3-5年,本科,150-500人
网易云音乐数据开发工程师,20k-40k,3-5年,本科,2000人以上
数据研发工程师（新）,12k-18k,3-5年,本科,150-500人
算法工程师,20k-30k,1-3年,本科,150-500人
高级web前端开发工程师,12k-24k,3-5年,大专,150-500人
软件工程师-大数据开发,15k-30k,3-5年,不限,2000人以上
golang工程师,20k-30k,1-3年,大专,150-500人
c++研发实习生(漏洞扫描引擎方向),2k-4k,应届毕业生,本科,500-2000人
资深运维开发工程师,20k-35k,3-5年,本科,150-500人
大数据平台研发工程师（杭州）,20k-25k,3-5年,本科,150-500人
JAVA工程师,15k-25k,3-5年,本科,150-500人
运维开发工程师,8k-16k,1-3年,大专,150-500人
建模工程师,12k-24k,3-5年,本科,50-150人
前端开发工程师,10k-18k,1-3年,本科,500-2000人
资深web前端开发,15k-30k,3-5年,本科,150-500人
资深开发工程师,20k-35k,3-5年,本科,500-2000人
高级/资深Java开发工程师,15k-25k,3-5年,本科,2000人以上
高级前端开发工程师,15k-26k,3-5年,不限,500-2000人
DevOps工程师,15k-30k,不限,本科,500-2000人
系统集成工程师,18k-36k,5-10年,不限,150-500人
安全工程师（SDL方向）（MJ000968）,15k-30k,3-5年,本科,500-2000人
高级php开发管理工程师,20k-30k,3-5年,大专,50-150人
资深运维工程师,15k-30k,3-5年,本科,500-2000人
系统研发工程师,8k-15k,1-3年,本科,15-50人
cocos2d开发工程师（提审方向）,13k-25k,3-5年,本科,500-2000人
运维,8k-16k,1-3年,本科,50-150人
风控建模工程师,15k-30k,1-3年,本科,50-150人
软件工程师（物联网）,8k-15k,3-5年,本科,2000人以上
技术架构师,15k-30k,5-10年,本科,2000人以上
自动化测试工程师,8k-15k,1-3年,大专,150-500人
中级测试工程师,8k-16k,3-5年,本科,150-500人
Hadoop开发工程师,20k-30k,3-5年,本科,2000人以上
测试高级工程师 (MJ000635),15k-25k,3-5年,本科,500-2000人
数据仓库工程师,20k-30k,3-5年,本科,500-2000人
物联网软件工程师,12k-20k,3-5年,本科,2000人以上
区块链公链开发工程师,10k-20k,1-3年,本科,15-50人
测试工程师,7k-14k,1-3年,大专,150-500人
运维工程师,15k-25k,5-10年,本科,50-150人
技术经理,25k-35k,5-10年,本科,2000人以上
算法工程师,15k-30k,3-5年,本科,50-150人
运维工程师,10k-15k,1-3年,大专,2000人以上
数据开发工程师,15k-25k,1-3年,本科,500-2000人
运维工程师,8k-15k,1-3年,本科,500-2000人
运维工程师,10k-15k,3-5年,本科,150-500人
AI算法工程师,25k-40k,不限,本科,500-2000人
后端开发工程师,18k-30k,3-5年,本科,50-150人
资深游戏技术美术工程师,25k-50k,3-5年,本科,2000人以上
测试高级工程师 (MJ000638),15k-25k,3-5年,本科,500-2000人
软件测试工程师,8k-12k,1-3年,本科,150-500人
软件测试工程师,8k-15k,1-3年,本科,2000人以上
高级/资深搜索开发工程师,15k-25k,3-5年,本科,15-50人
运维工程师,10k-20k,3-5年,本科,50-150人
计算机视觉算法工程师（2019应届生）,15k-30k,应届毕业生,硕士,500-2000人
技术专家 (MJ000187),20k-30k,不限,不限,500-2000人
数据仓库工程师-杭州-00347,15k-25k,1-3年,本科,150-500人
运维开发工程师,15k-25k,3-5年,本科,15-50人
分布式系统研发工程师,10k-20k,3-5年,本科,15-50人
算法工程师,25k-30k,3-5年,大专,150-500人
运维工程师,14k-20k,3-5年,大专,50-150人
运维工程师 (MJ000790),10k-20k,1-3年,本科,150-500人
云计算研发工程师,20k-38k,3-5年,本科,500-2000人
资深算法工程师,25k-50k,3-5年,本科,2000人以上
测试开发专家（MJ000721）,30k-50k,5-10年,本科,500-2000人
运维工程师,10k-20k,1-3年,本科,50-150人
蚂蚁金服-技术风险研发/架构岗,30k-60k,不限,不限,2000人以上
高级安全开发工程师,20k-30k,3-5年,本科,15-50人
高级前端开发工程师,15k-25k,3-5年,不限,150-500人
服务端测试开发,15k-25k,3-5年,本科,50-150人
高级后端开发工程师,15k-25k,3-5年,本科,150-500人
区块链开发工程师,30k-60k,3-5年,本科,50-150人
高级运维工程师,10k-20k,3-5年,本科,2000人以上
测试开发,13k-22k,3-5年,本科,50-150人
高级AI平台软件工程师-杭州-00068,25k-50k,5-10年,本科,50-150人
数据工程师,10k-20k,1-3年,本科,150-500人
高级运维工程师（运维中心）,12k-24k,5-10年,本科,150-500人
测试工程师,8k-16k,不限,大专,150-500人
云信-高级/资深Java开发工程师,20k-40k,5-10年,本科,2000人以上
数据挖掘工程师,20k-35k,5-10年,本科,500-2000人
数据工程师,20k-35k,3-5年,本科,15-50人
资深数据研发工程师,25k-40k,3-5年,本科,2000人以上
深度学习算法工程师,20k-40k,1-3年,本科,15-50人
"软件工程师-Javascript, HTML",10k-20k,1-3年,本科,2000人以上
资深前端开发工程师（丁香妈妈）,13k-26k,3-5年,本科,500-2000人
资深测试工程师,18k-25k,3-5年,大专,150-500人
高级运维工程师,15k-25k,5-10年,大专,150-500人
ios开发工程师,3k-4k,应届毕业生,本科,50-150人
高级开发工程师,15k-25k,3-5年,本科,15-50人
资深测试开发工程师,20k-35k,5-10年,本科,500-2000人
机器视觉开发工程师,20k-40k,3-5年,本科,50-150人
C++开发,8k-15k,1-3年,本科,2000人以上
运营支撑,5k-10k,不限,不限,50-150人
高级android开发工程师,25k-50k,3-5年,本科,2000人以上
高级运维&amp;开发支持工程师,15k-23k,3-5年,本科,15-50人
软件测试工程师,10k-15k,1-3年,本科,150-500人
算法工程师,15k-30k,1-3年,本科,150-500人
BI,15k-25k,3-5年,本科,500-2000人
高级软件工程师（云平台方向）,20k-40k,3-5年,本科,50-150人
数据挖掘工程师,10k-15k,1-3年,本科,15-50人
测试开发工程师,10k-18k,不限,本科,50-150人
软件开发工程师--芯片智能设计平台,17k-25k,3-5年,本科,15-50人
资深数据可视化研发工程师,20k-40k,3-5年,本科,150-500人
安全工程师,10k-15k,1-3年,本科,150-500人
课程开发 (研发/编码),10k-20k,3-5年,本科,15-50人
量化系统开发工程师,10k-18k,1-3年,本科,15-50人
机器学习算法工程师,15k-30k,不限,本科,15-50人
数据采集工程师,13k-20k,3-5年,不限,150-500人
资深Java开发工程师（私有化）,22k-35k,3-5年,本科,2000人以上
资深Devops开发工程师,15k-30k,3-5年,本科,150-500人
数据科学家/机器学习工程师,25k-50k,1-3年,硕士,15-50人
数据开发工程师,25k-40k,3-5年,本科,150-500人
大数据-可视化工程师,15k-22k,3-5年,本科,150-500人
推荐算法工程师,20k-40k,3-5年,本科,500-2000人
蚂蚁金服-高级安全开发工程师( 杭州/成都),30k-60k,不限,不限,2000人以上
图像算法工程师,20k-40k,3-5年,本科,150-500人
算法开发工程师,18k-35k,1-3年,本科,150-500人
测试工程师,15k-30k,不限,本科,150-500人
图像算法工程师,12k-18k,1-3年,硕士,150-500人
语音识别工程师,60k-75k,3-5年,硕士,50-150人
安全开发工程师,15k-25k,3-5年,大专,500-2000人
推荐算法工程师,30k-40k,3-5年,本科,500-2000人
数据仓库工程师,12k-22k,1-3年,本科,50-150人
游戏运维开发工程师,20k-40k,3-5年,本科,2000人以上
资深大数据开发工程师,25k-40k,3-5年,本科,500-2000人
运维工程师,6k-8k,1-3年,大专,150-500人
PHP开发工程师,10k-20k,1-3年,本科,150-500人
C++开发工程师,25k-50k,3-5年,本科,50-150人
资深JAVA开发工程师（搜索/推荐方向）,25k-40k,3-5年,本科,500-2000人
自动化测试工程师,10k-20k,3-5年,本科,15-50人
高级javascript工程师（3年以上）,10k-20k,3-5年,本科,50-150人
高级数据研发工程/专家_杭州,20k-40k,3-5年,本科,2000人以上
运维工程师,10k-20k,3-5年,本科,150-500人
高级运维工程师,12k-20k,3-5年,大专,2000人以上
软件测试工程师,11k-16k,3-5年,大专,2000人以上
高级后端开发工程师,10k-20k,1-3年,本科,50-150人
测试工程师,8k-11k,应届毕业生,本科,500-2000人
测试工程师,10k-15k,3-5年,本科,150-500人
游戏引擎开发工程师,20k-40k,不限,本科,2000人以上
自动化测试工程师,8k-11k,1-3年,本科,150-500人
数据挖掘工程师,20k-40k,3-5年,本科,50-150人
配置管理工程师,15k-25k,3-5年,本科,150-500人
运维工程师,10k-20k,3-5年,本科,50-150人
运维工程师,9k-18k,1-3年,大专,150-500人
开发工程师,15k-20k,3-5年,本科,50-150人
爬虫工程师,20k-40k,1-3年,本科,50-150人
数据分析师,10k-20k,3-5年,本科,150-500人
资深运维工程师-阿里新零售,20k-30k,3-5年,本科,2000人以上
运维工程师,18k-30k,5-10年,本科,50-150人
高级安全专家,25k-43k,5-10年,本科,150-500人
资深算法工程师,25k-50k,3-5年,硕士,50-150人
高级测试工程师【杭州】,10k-20k,3-5年,本科,150-500人
资深大数据开发工程师/专家,15k-30k,3-5年,本科,150-500人
UE4游戏开发工程师,15k-30k,不限,本科,2000人以上
爬虫工程师,18k-25k,1-3年,本科,50-150人
大数据运维工程师【杭州】,10k-20k,1-3年,本科,150-500人
测试工程师,10k-15k,3-5年,本科,50-150人
自然语言处理工程师,18k-30k,不限,硕士,15-50人
测试工程师-杭州,10k-20k,1-3年,本科,150-500人
PHP实习生,3k-5k,应届毕业生,不限,500-2000人
大数据开发工程师,15k-25k,3-5年,本科,150-500人
算法优化,15k-30k,3-5年,本科,150-500人
人工智能算法工程师,15k-30k,1-3年,本科,50-150人
算法工程师,15k-30k,3-5年,本科,50-150人
图像算法工程师（图像处理方向）,20k-40k,不限,本科,50-150人
资深测试工程师,15k-25k,3-5年,大专,50-150人
游戏服务器开发工程师,13k-25k,3-5年,本科,500-2000人
高级测试工程师,15k-25k,3-5年,本科,50-150人
大数据平台架构师,20k-40k,5-10年,本科,150-500人
BI工程师,12k-18k,3-5年,本科,50-150人
自然语言处理工程师,18k-35k,1-3年,本科,150-500人
资深搜索研发工程师,15k-30k,3-5年,本科,500-2000人
测试工程师,8k-12k,1-3年,本科,15-50人
安全工程师,12k-20k,3-5年,本科,2000人以上
资深测试工程师,15k-25k,3-5年,大专,50-150人
游戏测试工程师,10k-20k,1-3年,本科,500-2000人
运维工程师,10k-20k,3-5年,大专,150-500人
算法工程师,15k-30k,3-5年,本科,50-150人
数据运营,10k-18k,不限,不限,15-50人
NLP算法工程师,18k-35k,不限,本科,50-150人
数据仓库开发实习生,2k-3k,应届毕业生,本科,500-2000人
数据leader,20k-40k,5-10年,本科,150-500人
大数据开发（15-20k）,15k-20k,1-3年,本科,150-500人
运维开发,9k-18k,3-5年,大专,2000人以上
安全开发工程师,13k-25k,1-3年,本科,150-500人
大数据工程师,15k-30k,3-5年,本科,150-500人
深度/机器学习研究员,20k-40k,不限,硕士,150-500人
资深数据挖掘,25k-35k,5-10年,本科,500-2000人
DBA,10k-20k,1-3年,本科,150-500人
功能测试,8k-12k,1-3年,本科,50-150人
测试开发工程师,12k-24k,3-5年,本科,500-2000人
大数据系统工程师,12k-20k,1-3年,本科,500-2000人
机器学习工程师,20k-35k,1-3年,硕士,50-150人
WINDOWS桌面应用开发,12k-24k,3-5年,本科,150-500人
测试工程师,8k-15k,3-5年,本科,50-150人
自动化测试工程师,9k-14k,1-3年,本科,150-500人
数据挖掘leader,25k-35k,3-5年,本科,150-500人
软件测试（外派网易）,8k-10k,1-3年,本科,50-150人
DBA（MySQL方向）,20k-30k,5-10年,大专,2000人以上
自然语言处理（NLP)工程师,22k-44k,1-3年,本科,50-150人
资深测试工程师,15k-25k,3-5年,本科,50-150人
DBA,15k-25k,3-5年,本科,150-500人
高级测试工程师,15k-25k,3-5年,不限,50-150人
测试工程师,6k-12k,3-5年,大专,15-50人
测试工程师,12k-20k,3-5年,本科,50-150人
高级算法工程师,15k-30k,1-3年,本科,500-2000人
算法工程师（杭州）,15k-30k,1-3年,不限,150-500人
高级/资深研发工程师（Java）,15k-30k,3-5年,本科,150-500人
生物信息学工程师,8k-16k,应届毕业生,本科,50-150人
高级测试工程师【杭州】,10k-20k,3-5年,本科,150-500人
个性推荐算法工程师,15k-30k,1-3年,硕士,150-500人
网易严选-资深数据仓库工程师,25k-50k,5-10年,本科,2000人以上
前端工程师,20k-30k,3-5年,本科,500-2000人
风控建模策略,15k-30k,3-5年,本科,500-2000人
测试,9k-15k,3-5年,大专,2000人以上
高级后端开发工程师,15k-30k,5-10年,本科,50-150人
Node全栈工程师,20k-35k,3-5年,本科,50-150人
人工智能实习生,3k-6k,应届毕业生,硕士,15-50人
机器学习,20k-40k,1-3年,本科,50-150人
运维工程师,12k-13k,1-3年,本科,500-2000人
网易严选-资深大数据开发,25k-50k,5-10年,本科,2000人以上
运维开发工程师（DEVOPS）,25k-35k,3-5年,本科,150-500人
测试工程师,8k-15k,1-3年,大专,150-500人
算法工程师（语音识别）,25k-40k,3-5年,硕士,50-150人
数据仓库开发工程师,15k-30k,1年以下,本科,500-2000人
资深java后端开发师,20k-30k,3-5年,本科,50-150人
数据分析专家,20k-40k,3-5年,硕士,50-150人
爬虫工程师,15k-25k,3-5年,本科,50-150人
自动化测试工程师,9k-12k,1-3年,本科,150-500人
AI算法工程师,25k-40k,3-5年,本科,500-2000人
后端工程师,15k-30k,1-3年,本科,50-150人
运维总监,25k-45k,10年以上,本科,150-500人
运维工程师,10k-15k,1-3年,本科,150-500人
算法工程师（NLP方向）,25k-50k,3-5年,硕士,50-150人
高级后台开发工程师,15k-28k,3-5年,本科,150-500人
棋牌运营专员,10k-20k,5-10年,大专,500-2000人
高级分析师,20k-40k,3-5年,本科,500-2000人
资深技术美术(TA),12k-24k,5-10年,大专,50-150人
量化策略研究员,25k-50k,不限,本科,50-150人
蚂蚁金服-数据技术专家（P6-P8）,30k-60k,不限,不限,2000人以上
算法工程师,20k-35k,1-3年,硕士,2000人以上
DBA运维工程师,15k-30k,3-5年,本科,2000人以上
高级Java开发工程师,20k-40k,5-10年,本科,500-2000人
